,date,basemoney
0,2005-01-01,3.25
1,2005-01-02,3.25
2,2005-01-03,3.25
3,2005-01-04,3.25
4,2005-01-05,3.25
5,2005-01-06,3.25
6,2005-01-07,3.25
7,2005-01-08,3.25
8,2005-01-09,3.25
9,2005-01-10,3.25
10,2005-01-11,3.25
11,2005-01-12,3.25
12,2005-01-13,3.25
13,2005-01-14,3.25
14,2005-01-15,3.25
15,2005-01-16,3.25
16,2005-01-17,3.25
17,2005-01-18,3.25
18,2005-01-19,3.25
19,2005-01-20,3.25
20,2005-01-21,3.25
21,2005-01-22,3.25
22,2005-01-23,3.25
23,2005-01-24,3.25
24,2005-01-25,3.25
25,2005-01-26,3.25
26,2005-01-27,3.25
27,2005-01-28,3.25
28,2005-01-29,3.25
29,2005-01-30,3.25
30,2005-01-31,3.25
31,2005-02-01,3.25
32,2005-02-02,3.25
33,2005-02-03,3.25
34,2005-02-04,3.25
35,2005-02-05,3.25
36,2005-02-06,3.25
37,2005-02-07,3.25
38,2005-02-08,3.25
39,2005-02-09,3.25
40,2005-02-10,3.25
41,2005-02-11,3.25
42,2005-02-12,3.25
43,2005-02-13,3.25
44,2005-02-14,3.25
45,2005-02-15,3.25
46,2005-02-16,3.25
47,2005-02-17,3.25
48,2005-02-18,3.25
49,2005-02-19,3.25
50,2005-02-20,3.25
51,2005-02-21,3.25
52,2005-02-22,3.25
53,2005-02-23,3.25
54,2005-02-24,3.25
55,2005-02-25,3.25
56,2005-02-26,3.25
57,2005-02-27,3.25
58,2005-02-28,3.25
59,2005-03-01,3.25
60,2005-03-02,3.25
61,2005-03-03,3.25
62,2005-03-04,3.25
63,2005-03-05,3.25
64,2005-03-06,3.25
65,2005-03-07,3.25
66,2005-03-08,3.25
67,2005-03-09,3.25
68,2005-03-10,3.25
69,2005-03-11,3.25
70,2005-03-12,3.25
71,2005-03-13,3.25
72,2005-03-14,3.25
73,2005-03-15,3.25
74,2005-03-16,3.25
75,2005-03-17,3.25
76,2005-03-18,3.25
77,2005-03-19,3.25
78,2005-03-20,3.25
79,2005-03-21,3.25
80,2005-03-22,3.25
81,2005-03-23,3.25
82,2005-03-24,3.25
83,2005-03-25,3.25
84,2005-03-26,3.25
85,2005-03-27,3.25
86,2005-03-28,3.25
87,2005-03-29,3.25
88,2005-03-30,3.25
89,2005-03-31,3.25
90,2005-04-01,3.25
91,2005-04-02,3.25
92,2005-04-03,3.25
93,2005-04-04,3.25
94,2005-04-05,3.25
95,2005-04-06,3.25
96,2005-04-07,3.25
97,2005-04-08,3.25
98,2005-04-09,3.25
99,2005-04-10,3.25
100,2005-04-11,3.25
101,2005-04-12,3.25
102,2005-04-13,3.25
103,2005-04-14,3.25
104,2005-04-15,3.25
105,2005-04-16,3.25
106,2005-04-17,3.25
107,2005-04-18,3.25
108,2005-04-19,3.25
109,2005-04-20,3.25
110,2005-04-21,3.25
111,2005-04-22,3.25
112,2005-04-23,3.25
113,2005-04-24,3.25
114,2005-04-25,3.25
115,2005-04-26,3.25
116,2005-04-27,3.25
117,2005-04-28,3.25
118,2005-04-29,3.25
119,2005-04-30,3.25
120,2005-05-01,3.25
121,2005-05-02,3.25
122,2005-05-03,3.25
123,2005-05-04,3.25
124,2005-05-05,3.25
125,2005-05-06,3.25
126,2005-05-07,3.25
127,2005-05-08,3.25
128,2005-05-09,3.25
129,2005-05-10,3.25
130,2005-05-11,3.25
131,2005-05-12,3.25
132,2005-05-13,3.25
133,2005-05-14,3.25
134,2005-05-15,3.25
135,2005-05-16,3.25
136,2005-05-17,3.25
137,2005-05-18,3.25
138,2005-05-19,3.25
139,2005-05-20,3.25
140,2005-05-21,3.25
141,2005-05-22,3.25
142,2005-05-23,3.25
143,2005-05-24,3.25
144,2005-05-25,3.25
145,2005-05-26,3.25
146,2005-05-27,3.25
147,2005-05-28,3.25
148,2005-05-29,3.25
149,2005-05-30,3.25
150,2005-05-31,3.25
151,2005-06-01,3.25
152,2005-06-02,3.25
153,2005-06-03,3.25
154,2005-06-04,3.25
155,2005-06-05,3.25
156,2005-06-06,3.25
157,2005-06-07,3.25
158,2005-06-08,3.25
159,2005-06-09,3.25
160,2005-06-10,3.25
161,2005-06-11,3.25
162,2005-06-12,3.25
163,2005-06-13,3.25
164,2005-06-14,3.25
165,2005-06-15,3.25
166,2005-06-16,3.25
167,2005-06-17,3.25
168,2005-06-18,3.25
169,2005-06-19,3.25
170,2005-06-20,3.25
171,2005-06-21,3.25
172,2005-06-22,3.25
173,2005-06-23,3.25
174,2005-06-24,3.25
175,2005-06-25,3.25
176,2005-06-26,3.25
177,2005-06-27,3.25
178,2005-06-28,3.25
179,2005-06-29,3.25
180,2005-06-30,3.25
181,2005-07-01,3.25
182,2005-07-02,3.25
183,2005-07-03,3.25
184,2005-07-04,3.25
185,2005-07-05,3.25
186,2005-07-06,3.25
187,2005-07-07,3.25
188,2005-07-08,3.25
189,2005-07-09,3.25
190,2005-07-10,3.25
191,2005-07-11,3.25
192,2005-07-12,3.25
193,2005-07-13,3.25
194,2005-07-14,3.25
195,2005-07-15,3.25
196,2005-07-16,3.25
197,2005-07-17,3.25
198,2005-07-18,3.25
199,2005-07-19,3.25
200,2005-07-20,3.25
201,2005-07-21,3.25
202,2005-07-22,3.25
203,2005-07-23,3.25
204,2005-07-24,3.25
205,2005-07-25,3.25
206,2005-07-26,3.25
207,2005-07-27,3.25
208,2005-07-28,3.25
209,2005-07-29,3.25
210,2005-07-30,3.25
211,2005-07-31,3.25
212,2005-08-01,3.25
213,2005-08-02,3.25
214,2005-08-03,3.25
215,2005-08-04,3.25
216,2005-08-05,3.25
217,2005-08-06,3.25
218,2005-08-07,3.25
219,2005-08-08,3.25
220,2005-08-09,3.25
221,2005-08-10,3.25
222,2005-08-11,3.25
223,2005-08-12,3.25
224,2005-08-13,3.25
225,2005-08-14,3.25
226,2005-08-15,3.25
227,2005-08-16,3.25
228,2005-08-17,3.25
229,2005-08-18,3.25
230,2005-08-19,3.25
231,2005-08-20,3.25
232,2005-08-21,3.25
233,2005-08-22,3.25
234,2005-08-23,3.25
235,2005-08-24,3.25
236,2005-08-25,3.25
237,2005-08-26,3.25
238,2005-08-27,3.25
239,2005-08-28,3.25
240,2005-08-29,3.25
241,2005-08-30,3.25
242,2005-08-31,3.25
243,2005-09-01,3.25
244,2005-09-02,3.25
245,2005-09-03,3.25
246,2005-09-04,3.25
247,2005-09-05,3.25
248,2005-09-06,3.25
249,2005-09-07,3.25
250,2005-09-08,3.25
251,2005-09-09,3.25
252,2005-09-10,3.25
253,2005-09-11,3.25
254,2005-09-12,3.25
255,2005-09-13,3.25
256,2005-09-14,3.25
257,2005-09-15,3.25
258,2005-09-16,3.25
259,2005-09-17,3.25
260,2005-09-18,3.25
261,2005-09-19,3.25
262,2005-09-20,3.25
263,2005-09-21,3.25
264,2005-09-22,3.25
265,2005-09-23,3.25
266,2005-09-24,3.25
267,2005-09-25,3.25
268,2005-09-26,3.25
269,2005-09-27,3.25
270,2005-09-28,3.25
271,2005-09-29,3.25
272,2005-09-30,3.25
273,2005-10-01,3.25
274,2005-10-02,3.25
275,2005-10-03,3.25
276,2005-10-04,3.25
277,2005-10-05,3.25
278,2005-10-06,3.25
279,2005-10-07,3.25
280,2005-10-08,3.25
281,2005-10-09,3.25
282,2005-10-10,3.25
283,2005-10-11,3.5
284,2005-10-12,3.5
285,2005-10-13,3.5
286,2005-10-14,3.5
287,2005-10-15,3.5
288,2005-10-16,3.5
289,2005-10-17,3.5
290,2005-10-18,3.5
291,2005-10-19,3.5
292,2005-10-20,3.5
293,2005-10-21,3.5
294,2005-10-22,3.5
295,2005-10-23,3.5
296,2005-10-24,3.5
297,2005-10-25,3.5
298,2005-10-26,3.5
299,2005-10-27,3.5
300,2005-10-28,3.5
301,2005-10-29,3.5
302,2005-10-30,3.5
303,2005-10-31,3.5
304,2005-11-01,3.5
305,2005-11-02,3.5
306,2005-11-03,3.5
307,2005-11-04,3.5
308,2005-11-05,3.5
309,2005-11-06,3.5
310,2005-11-07,3.5
311,2005-11-08,3.5
312,2005-11-09,3.5
313,2005-11-10,3.5
314,2005-11-11,3.5
315,2005-11-12,3.5
316,2005-11-13,3.5
317,2005-11-14,3.5
318,2005-11-15,3.5
319,2005-11-16,3.5
320,2005-11-17,3.5
321,2005-11-18,3.5
322,2005-11-19,3.5
323,2005-11-20,3.5
324,2005-11-21,3.5
325,2005-11-22,3.5
326,2005-11-23,3.5
327,2005-11-24,3.5
328,2005-11-25,3.5
329,2005-11-26,3.5
330,2005-11-27,3.5
331,2005-11-28,3.5
332,2005-11-29,3.5
333,2005-11-30,3.5
334,2005-12-01,3.5
335,2005-12-02,3.5
336,2005-12-03,3.5
337,2005-12-04,3.5
338,2005-12-05,3.5
339,2005-12-06,3.5
340,2005-12-07,3.5
341,2005-12-08,3.75
342,2005-12-09,3.75
343,2005-12-10,3.75
344,2005-12-11,3.75
345,2005-12-12,3.75
346,2005-12-13,3.75
347,2005-12-14,3.75
348,2005-12-15,3.75
349,2005-12-16,3.75
350,2005-12-17,3.75
351,2005-12-18,3.75
352,2005-12-19,3.75
353,2005-12-20,3.75
354,2005-12-21,3.75
355,2005-12-22,3.75
356,2005-12-23,3.75
357,2005-12-24,3.75
358,2005-12-25,3.75
359,2005-12-26,3.75
360,2005-12-27,3.75
361,2005-12-28,3.75
362,2005-12-29,3.75
363,2005-12-30,3.75
364,2005-12-31,3.75
365,2006-01-01,3.75
366,2006-01-02,3.75
367,2006-01-03,3.75
368,2006-01-04,3.75
369,2006-01-05,3.75
370,2006-01-06,3.75
371,2006-01-07,3.75
372,2006-01-08,3.75
373,2006-01-09,3.75
374,2006-01-10,3.75
375,2006-01-11,3.75
376,2006-01-12,3.75
377,2006-01-13,3.75
378,2006-01-14,3.75
379,2006-01-15,3.75
380,2006-01-16,3.75
381,2006-01-17,3.75
382,2006-01-18,3.75
